date,country,new_cases_avg_per_pop,new_deaths_avg_per_pop
2022-04-14,Eritrea,0.19833215352146275,0
2022-04-15,Eritrea,0.15866572281717017,0
2022-04-16,Eritrea,0.15866572281717017,0
2022-04-17,Eritrea,0.07933286140858509,0
2022-04-18,Eritrea,0.039666430704292543,0
2022-04-19,Eritrea,0.039666430704292543,0
2022-04-20,Eritrea,0,0
2022-04-21,Eritrea,0,0
2022-04-22,Eritrea,0.039666430704292543,0
2022-04-01,Estonia,810.7744496845514,3.6652481437674176
2022-04-02,Estonia,774.6609753268432,3.2340424797947804
2022-04-03,Estonia,753.7475006241702,3.1262410638016216
2022-04-04,Estonia,738.0084938891689,2.695035399828984
2022-04-05,Estonia,700.3857997075563,2.9106382318153026
2022-04-06,Estonia,656.2950205663541,3.018439647808462
2022-04-07,Estonia,626.3262269202559,2.3716311518495057
2022-04-08,Estonia,606.3829649615213,2.479432567842665
2022-04-09,Estonia,585.4694902588485,2.5872339838358243
2022-04-10,Estonia,574.0425401635736,2.8028368158221433
2022-04-11,Estonia,557.9801291805928,2.8028368158221433
2022-04-12,Estonia,536.8510516459336,2.479432567842665
2022-04-13,Estonia,497.07232914445774,2.3716311518495057
2022-04-14,Estonia,469.25956381822266,2.5872339838358243
2022-04-15,Estonia,429.4808413167468,2.3716311518495057
2022-04-16,Estonia,377.1971545600646,2.2638297358563464
2022-04-17,Estonia,369.97445968852287,2.3716311518495057
2022-04-18,Estonia,359.51772233718646,2.9106382318153026
2022-04-19,Estonia,336.55602073064347,2.9106382318153026
2022-04-20,Estonia,291.4950288455029,2.695035399828984
2022-04-21,Estonia,310.4680780602989,2.479432567842665
2022-04-22,Estonia,301.736163364853,2.479432567842665
2022-04-01,Eswatini,21.20249073213541,0.12185339501227246
2022-04-02,Eswatini,21.324344127147683,0.12185339501227246
2022-04-03,Eswatini,22.786584867294952,0.12185339501227246
2022-04-04,Eswatini,23.15214505233177,0
2022-04-05,Eswatini,24.614385792479037,0.12185339501227246
2022-04-06,Eswatini,24.858092582503584,0.12185339501227246
2022-04-07,Eswatini,21.446197522159952,0.12185339501227246
2022-04-08,Eswatini,15.475381166558602,0.12185339501227246
2022-04-09,Eswatini,15.597234561570875,0.12185339501227246
2022-04-10,Eswatini,14.25684721643588,0.12185339501227246
2022-04-11,Eswatini,15.597234561570875,0.12185339501227246
2022-04-12,Eswatini,14.25684721643588,0
2022-04-13,Eswatini,14.744260796484967,0
2022-04-14,Eswatini,15.231674376534059,0
2022-04-15,Eswatini,16.8157685116936,0
2022-04-16,Eswatini,16.084648141619965,0
2022-04-17,Eswatini,16.32835493164451,0
2022-04-18,Eswatini,13.647580241374516,0
2022-04-19,Eswatini,11.33236573614134,0
2022-04-20,Eswatini,11.697925921178156,0
2022-04-21,Eswatini,14.378700611448151,0
2022-04-22,Eswatini,19.009129621914504,0.12185339501227246
2022-04-01,Ethiopia,0.21814649642995623,0.010907324821497812
2022-04-02,Ethiopia,0.23632537113245258,0.01454309976199708
