date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-03-24,Oceania,NA,NA
2020-03-25,Asia,0.6946552390073942,0.038308419394671736
2020-03-25,Europe,30.893441853832776,1.9815396277601007
2020-03-25,Africa,0.21506263764569247,0.00583220712259505
2020-03-25,North America,15.565340444048243,0.3058170435135583
2020-03-25,South America,1.7908428489578823,0.04608786743641609
2020-03-25,Oceania,NA,NA
2020-03-26,Asia,0.8045382975279052,0.040153126588636665
2020-03-26,Europe,33.75488328729213,2.2580910713424105
2020-03-26,Africa,0.25099319938310843,0.007290258903243813
2020-03-26,North America,19.014397596740164,0.39329662333658566
2020-03-26,South America,2.0058098306434515,0.05398864471123027
2020-03-26,Oceania,NA,NA
2020-03-27,Asia,0.9398783153251322,0.04129069602491504
2020-03-27,Europe,36.76307018737362,2.538829804504081
2020-03-27,Africa,0.29286011479888,0.00916489690693508
2020-03-27,North America,22.15378185667013,0.500778421135677
2020-03-27,South America,2.1819313240611846,0.059585028614223656
2020-03-27,Oceania,NA,NA
2020-03-28,Asia,1.080291277905763,0.04301242273928231
2020-03-28,Europe,39.46901091236309,2.794825462878621
2020-03-28,Africa,0.3068157532708039,0.010206362464541338
2020-03-28,North America,26.224835691244234,0.6576632874298666
2020-03-28,South America,2.3850471398345325,0.07374058789826574
2020-03-28,Oceania,NA,NA
2020-03-29,Asia,1.2025646197457385,0.04328912881837704
2020-03-29,Europe,41.35367188576435,3.0340719629357187
2020-03-29,Africa,0.33878874588931607,0.010831241799105093
2020-03-29,North America,28.11757569105155,0.7718928214136543
2020-03-29,South America,2.3517980354696895,0.0826289623324317
2020-03-29,Oceania,NA,NA
2020-03-30,Asia,1.3313866721242895,0.0449801104128449
2020-03-30,Europe,42.48576272294782,3.304913466182537
2020-03-30,Africa,0.33920533211235854,0.012081000468232605
2020-03-30,North America,30.951142907467958,0.9085344791537548
2020-03-30,South America,2.4067742773402716,0.0934925310853012
2020-03-30,Oceania,NA,NA
2020-03-31,Asia,1.5436202347899548,0.04728599440530107
2020-03-31,Europe,44.65344640564494,3.57023536043838
2020-03-31,Africa,0.3517029188036337,0.014059785027684495
2020-03-31,North America,34.98026438146574,1.125185008798112
2020-03-31,South America,2.8492178047298657,0.11554886764415749
2020-03-31,Oceania,NA,NA
2020-04-01,Asia,1.6458785035754109,0.05066795759423677
2020-04-01,Europe,45.716827627457995,3.959653291318907
2020-04-01,Africa,0.35930561737415934,0.01655930236593952
2020-04-01,North America,39.78224263918927,1.3574999260140852
2020-04-01,South America,3.3614515313803195,0.13464241272495844
2020-04-01,Oceania,NA,NA
2020-04-02,Asia,1.7530867366646727,0.05205148798971047
2020-04-02,Europe,45.90354267642857,4.239440367757995
2020-04-02,Africa,0.37242808339999817,0.020204431817561423
2020-04-02,North America,43.47036244528186,1.646206638487878
2020-04-02,South America,3.752210807430504,0.17348790099279487
2020-04-02,Oceania,NA,NA
2020-04-03,Asia,1.8043388515369985,0.054142156142870726
2020-04-03,Europe,46.462165172584164,4.539402566715821
2020-04-03,Africa,0.40377619668394665,0.022495656044295195
2020-04-03,North America,46.93436101381132,1.8874382070907716
2020-04-03,South America,4.025446021517828,0.1971902328172374
2020-04-03,Oceania,NA,NA
2020-04-04,Asia,1.8628468147055863,0.05700145229351636
2020-04-04,Europe,46.49166653098421,4.77065515030323
2020-04-04,Africa,0.4399150515328838,0.025828345828635225
2020-04-04,North America,49.3625820779899,2.11903015257267
2020-04-04,South America,4.385260586574991,0.2386693135100119
2020-04-04,Oceania,NA,NA
2020-04-05,Asia,1.9471499334697833,0.059707022844664934
2020-04-05,Europe,46.230151263618694,4.865249828527874
2020-04-05,Africa,0.4530375175587227,0.030306647726342135
2020-04-05,North America,52.63860799565997,2.394964364411145
2020-04-05,South America,4.67594335047753,0.26204244628133716
2020-04-05,Oceania,NA,NA
2020-04-06,Asia,2.035296192221408,0.06281227995450589
2020-04-06,Europe,45.29581469338775,4.943856673813142
2020-04-06,Africa,0.48761417407125046,0.03280616506459716
2020-04-06,North America,55.107074486368695,2.6742724443419674
2020-04-06,South America,5.011397185604015,0.2939747544337112
2020-04-06,Oceania,NA,NA
2020-04-07,Asia,2.005934602717466,0.06422655546987902
2020-04-07,Europe,43.99128365807243,5.290259720832966
2020-04-07,Africa,0.49521687264177616,0.034889096179809675
2020-04-07,North America,56.05272151453828,3.0547965670432355
2020-04-07,South America,5.231631352139461,0.3305158493297268
2020-04-07,Oceania,NA,NA
2020-04-08,Asia,2.0472560438622804,0.06444177130917493
2020-04-08,Europe,43.27106985042243,5.2156498337825425
2020-04-08,Africa,0.5164627700169439,0.035409828958612805
2020-04-08,North America,56.09706378089486,3.298679032004402
2020-04-08,South America,6.122773188927877,0.3845044940409571
2020-04-08,Oceania,NA,NA
2020-04-09,Asia,2.0784930856800865,0.06665541994193284
2020-04-09,Europe,42.92866376163745,5.407313497710543
2020-04-09,Africa,0.5308349947119102,0.03561812207013405
2020-04-09,North America,56.9299272185488,3.477976022054905
2020-04-09,South America,6.7150022854858245,0.43190915768984217
2020-04-09,Oceania,NA,NA
2020-04-10,Asia,2.1530192563162696,0.06893055881448959
2020-04-10,Europe,41.956451253847746,5.46384190703191
2020-04-10,Africa,0.5089642180021787,0.037388613518064696
2020-04-10,North America,57.467095216966236,3.672937399677023
2020-04-10,South America,7.822757099225397,0.47799702512625825
2020-04-10,Oceania,NA,NA
2020-04-11,Asia,2.244147791698137,0.0705293050492592
2020-04-11,Europe,40.45949522922637,5.3770508139324376
2020-04-11,Africa,0.5125052008980401,0.03749276007382533
2020-04-11,North America,56.853533205314925,3.8216285863183677
2020-04-11,South America,8.036407284698496,0.4905065891447141
2020-04-11,Oceania,NA,NA
2020-04-12,Asia,2.2966912016062384,0.073696052398899
2020-04-12,Europe,49.32493892545514,5.3684859034292005
2020-04-12,Africa,0.5308349947119102,0.036034708293176565
2020-04-12,North America,56.25997341163967,3.911036090765594
2020-04-12,South America,8.36626473592199,0.5283644802531987
2020-04-12,Oceania,NA,NA
2020-04-13,Asia,2.3422247241772727,0.07421871943718905
2020-04-13,Europe,48.915916866089425,5.327374333013661
2020-04-13,Africa,0.5361464690557022,0.036034708293176565
2020-04-13,North America,55.244680106420894,3.9835742547510793
2020-04-13,South America,9.047706775874712,0.5609551865118072
2020-04-13,Oceania,NA,NA
2020-04-14,Asia,2.4004252361468668,0.07738546678682885
2020-04-14,Europe,50.51774546153933,5.064146083547499
2020-04-14,Africa,0.5698899531221449,0.035409828958612805
2020-04-14,North America,54.90102754215743,3.983333264173054
2020-04-14,South America,9.109596197860757,0.6106642435325131
2020-04-14,Oceania,NA,NA
2020-04-15,Asia,2.4432531881667523,0.07781589846542067
2020-04-15,Europe,50.27336001518029,5.234492636889664
2020-04-15,Africa,0.5866575485996056,0.03509738929133093
2020-04-15,North America,53.83319829092924,4.105997468387712
2020-04-15,South America,9.148441686128594,0.6521433242252876
2020-04-15,Oceania,NA,NA
2020-04-16,Asia,2.5111999031444605,0.07793887894501834
2020-04-16,Europe,52.296582207389484,5.136662325808242
2020-04-16,Africa,0.6273788519020104,0.035201535847091556
2020-04-16,North America,52.47039657219861,4.117324025554882
2020-04-16,South America,9.23304584277973,0.6748580588903784
2020-04-16,Oceania,NA,NA
2020-04-17,Asia,2.561252958340709,0.07824633014401249
2020-04-17,Europe,52.11576743009891,5.048158250608122
2020-04-17,Africa,0.7048638893879161,0.03384763062220342
2020-04-17,North America,52.489193837284546,4.118528978445005
2020-04-17,South America,9.199796738414886,0.7337846893983676
2020-04-17,Oceania,NA,NA
2020-04-18,Asia,2.566940805522101,0.0774777021465271
